binarize,average,distribution,sample_size,stat,pvalue
True,True,same_mean,30.0,-0.027983162906128706,0.6886918969718642
True,True,same_mean,30.0,-0.01667390259729767,0.4795955198658701
True,True,same_mean,30.0,-0.030992065470572414,0.7909905151005828
True,True,same_mean,30.0,0.371153909522489,0.0004949442467774832
True,True,same_mean,30.0,-0.036953785434511076,1.0
True,True,same_mean,30.0,-0.025156750103596314,0.620405893492838
True,True,same_mean,30.0,0.0016413442286945265,0.30568211128086387
True,True,same_mean,30.0,-0.041122651890437074,1.0
True,True,same_mean,30.0,-0.027791355488182276,0.6834578798563593
True,True,same_mean,30.0,-0.015159960656859286,0.4602851459954508
True,True,same_mean,30.0,-0.02317563006129857,0.5809315368877952
True,True,same_mean,30.0,-0.02263177740044586,0.5709793077873313
True,True,same_mean,30.0,0.05556591509289974,0.10245042326912594
True,True,same_mean,30.0,0.026030520735465378,0.18203693351046857
True,True,same_mean,30.0,-0.02153091162672065,0.5518167057171202
True,True,same_mean,30.0,0.06218537362127422,0.09049414062063146
True,True,same_mean,30.0,-0.03798908617524305,1.0
True,True,same_mean,30.0,0.23513293798861754,0.004540359436437858
True,True,same_mean,30.0,-0.018166070329718464,0.49996162044803605
True,True,same_mean,30.0,-0.04573637563935182,1.0
True,True,same_mean,30.0,0.03230533590361268,0.1605370432659845
True,True,same_mean,30.0,-0.049211646902702716,1.0
True,True,same_mean,30.0,-0.020868989579037687,0.5408696667557522
True,True,same_mean,30.0,-0.040829933107048196,1.0
True,True,same_mean,30.0,0.001030031060330685,0.309947158611662
True,True,same_mean,30.0,-0.007943133126558193,0.3827951591655736
True,True,same_mean,30.0,-0.04434562232528797,1.0
True,True,same_mean,30.0,0.09263435139591791,0.051898722090635
True,True,same_mean,30.0,-0.019846575333465538,0.52472173243551
True,True,same_mean,30.0,0.06451236043525811,0.08665876174289687
True,True,same_mean,30.0,-0.007158775534449959,0.3755443299875756
True,True,same_mean,30.0,-0.008178853822220564,0.3850129118735237
True,True,same_mean,30.0,-0.02040795882402239,0.5334785450967542
True,True,same_mean,30.0,0.0479504129458503,0.11838845161379706
True,True,same_mean,30.0,0.20962300040903117,0.00693900552536356
True,True,diff_mean,30.0,0.4197073130365194,0.00022724596715492608
True,True,diff_mean,30.0,0.26851521003677775,0.002619120319931286
True,True,diff_mean,30.0,0.3259425746774857,0.0010269822094851535
True,True,diff_mean,30.0,0.5581934255272107,2.5247389983223412e-05
True,True,diff_mean,30.0,0.3238011694895345,0.0010632589339015658
True,True,diff_mean,30.0,0.0681095236102096,0.08107166885326453
True,True,diff_mean,30.0,0.3268491329353313,0.0010120041134297987
True,True,diff_mean,30.0,0.23881180945834493,0.004272168095077106
True,True,diff_mean,30.0,0.06054902462161913,0.09330134651380612
True,True,diff_mean,30.0,0.2797909452986556,0.002177289699393264
True,True,diff_mean,30.0,0.3383712759743472,0.0008398012718226778
True,True,diff_mean,30.0,0.16667110678939245,0.0143047983692896
True,True,diff_mean,30.0,0.2678428390233493,0.0026481774109287275
True,True,diff_mean,30.0,0.5309334425208001,3.882458921041957e-05
True,True,diff_mean,30.0,0.3084010941047606,0.0013653406263529127
True,True,diff_mean,30.0,0.5985415464768844,1.3375066759514944e-05
True,True,diff_mean,30.0,0.4303267305712539,0.00019179563954354462
True,True,diff_mean,30.0,0.35578079993100153,0.0006339922288324482
True,True,diff_mean,30.0,0.40081218357737475,0.00030746423286701215
True,True,diff_mean,30.0,0.1808816324934182,0.011243314637670466
True,True,diff_mean,30.0,0.6170506727950114,9.99948060381966e-06
True,True,diff_mean,30.0,0.30613723285205785,0.0014165554124191439
True,True,diff_mean,30.0,0.4912942273497461,7.271616017048689e-05
True,True,diff_mean,30.0,0.46680058956988624,0.00010728252909004583
True,True,diff_mean,30.0,0.5999457072898166,1.308300846192659e-05
True,True,diff_mean,30.0,0.343547821976349,0.0007723894428975674
True,True,diff_mean,30.0,0.2667399474031694,0.002696550354556593
True,True,diff_mean,30.0,0.6409262364652195,6.874706793767215e-06
True,True,diff_mean,30.0,0.26117116065343565,0.0029548580965752373
True,True,diff_mean,30.0,0.5248546339139039,4.274038814433094e-05
True,True,diff_mean,30.0,0.04513306829310835,0.12496263259093332
True,True,diff_mean,30.0,0.4097450142619033,0.00026649118382357913
True,True,diff_mean,30.0,0.21114423179670458,0.0067650005213337845
True,True,diff_mean,30.0,0.42248984781374876,0.00021736374868174855
True,True,diff_mean,30.0,0.48514552918482384,8.016630656119175e-05
True,True,diff_mean,30.0,0.47352410498852365,9.641078767937864e-05
True,True,diff_mean,30.0,0.31433232693722085,0.0012398676979323388
True,True,diff_mean,30.0,0.4809198609996142,8.57272246248534e-05
True,True,diff_mean,30.0,0.31355563318493224,0.0012556102805235457
True,True,diff_mean,30.0,0.6045336958923894,1.2172638834831966e-05
True,True,diff_mean,30.0,0.5507894628544866,2.8375094698672815e-05
True,True,diff_mean,30.0,0.7469104714836527,1.3107920188093741e-06
True,True,diff_mean,30.0,0.5152237406178592,4.977363992265821e-05
True,True,diff_mean,30.0,0.12731350817836348,0.028141053789413565
True,True,diff_mean,30.0,0.4859236875370214,7.918254282118475e-05
True,True,diff_mean,30.0,0.5323875370511493,3.7942635679779055e-05
True,True,diff_mean,30.0,0.6419634274702356,6.76379767269157e-06
True,True,diff_mean,30.0,0.20573890421488114,0.007404327539671578
True,True,diff_mean,30.0,0.12620396610872586,0.02869000123135833
True,True,diff_mean,30.0,0.26060960051346244,0.002982263343756093
True,True,equal,40.0,-0.008404723488876355,0.41521771107945715
True,True,equal,40.0,-0.025022350684727503,1.0
True,True,equal,40.0,-0.009787292118241024,0.435350009213736
True,True,equal,40.0,-0.0029524083391898985,0.34768081019456964
True,True,equal,40.0,-0.024493327458406388,0.8867941799218169
True,True,equal,40.0,0.01324899259156927,0.21611849260275384
True,True,equal,40.0,0.07921002803758731,0.041184647659769896
True,True,equal,40.0,-0.016205693042399456,0.5531115968362796
True,True,equal,40.0,0.008895616803106654,0.24426241512410685
True,True,equal,40.0,-0.009102455969824433,0.4251987367790757
True,True,equal,40.0,-0.020953517200025164,0.6874504309050266
True,True,equal,40.0,0.006815705691620867,0.25927420465969836
True,True,equal,40.0,0.007590975434415126,0.2535495836096414
True,True,equal,40.0,0.05701189493030539,0.07010860145456217
True,True,equal,40.0,-0.010448053418531557,0.4454990155001658
True,True,equal,40.0,-0.012296116593285639,0.4759384890576277
True,True,equal,40.0,-0.0014513050867953083,0.33177742115865116
True,True,equal,40.0,-0.023554118485790528,0.8099507040033149
True,True,equal,40.0,-0.010222909265591105,0.4420003916345159
True,True,equal,40.0,-0.0050198307149413104,0.3713306376874269
True,True,equal,40.0,0.06254566487653924,0.06130118221883726
True,True,equal,40.0,-0.03278888471617785,1.0
True,True,equal,40.0,-0.006795290230927675,0.3934710325299753
True,True,equal,40.0,0.02126025648457869,0.17373568630490394
True,True,equal,40.0,0.06489566949410959,0.057924808766863414
True,True,equal,40.0,-0.026472790282418942,1.0
True,True,equal,40.0,-0.02123831994172724,0.698089282299732
True,True,equal,40.0,0.016556659342172226,0.19729760027232568
True,True,equal,40.0,0.07406487575729001,0.04652193237195144
True,True,equal,40.0,-0.034233773083202905,1.0
True,True,equal,40.0,0.0057923830330192175,0.2670775916274788
True,True,equal,40.0,0.00709582814619476,0.2571875451108468
True,True,equal,40.0,-0.023969470827226256,0.8391116108273731
True,True,equal,40.0,0.04092136896325314,0.10441006498228407
True,True,equal,40.0,-0.0030699147772308226,0.348968788861695
True,True,equal,40.0,-0.02996986343701812,1.0
True,True,equal,40.0,0.03920033892469188,0.10904458378400783
True,True,equal,40.0,-0.021258623423611445,0.6988652105224207
True,True,equal,40.0,-0.008043097781169494,0.41018097950708754
True,True,equal,40.0,0.032508532084354363,0.12934557586592252
